CustomerID,Age,Gender,AnnualIncome,SpendingScore,TenureMonths,NumOrders,AvgOrderValue,LastLoginDaysAgo,IsActiveMember,Churn
1,56,Male,56631,73,47,2,440.53,57,1,1
2,46,Female,92991,24,49,45,252.76,45,0,1
3,32,Female,24014,64,11,26,373.32,1,0,1
4,25,Male,31093,99,21,14,290.84,59,1,0
5,38,Female,38070,49,26,7,498.87,53,1,0
6,56,Female,55777,99,25,3,378.68,42,0,1
7,36,Female,76958,36,22,47,356.42,0,0,0
8,40,Female,102074,82,59,23,391.5,50,0,0
9,28,Male,30729,96,27,46,80.13,52,1,1
10,28,Male,119713,24,49,43,110.23,35,0,1
11,41,Female,65017,23,13,47,359.89,50,0,1
12,53,Female,86320,62,33,45,252.05,25,1,1
13,57,Male,47751,96,34,18,379.77,28,0,0
14,41,Male,98069,37,41,38,60.43,20,0,0
15,20,Female,74748,12,35,35,272.88,10,0,1
16,39,Male,25801,55,1,15,195.62,39,1,0
17,19,Female,39190,13,21,25,233.93,10,1,1
18,41,Female,69689,23,48,37,305.94,35,1,1
19,47,Male,70993,89,55,28,256.12,48,1,0
20,55,Male,49592,99,6,10,274.53,58,1,1
21,19,Female,30647,30,28,39,248.32,38,1,0
22,38,Female,28716,17,17,17,210.39,39,1,0
23,50,Male,108891,62,5,39,388.22,34,0,0
24,29,Female,107545,84,31,22,15.98,53,0,0
25,39,Male,109912,89,5,26,303.24,33,1,1
26,42,Female,90316,86,38,44,287.1,54,0,0
27,44,Male,22368,13,3,25,360.93,46,0,1
28,59,Male,97575,59,53,17,303.52,23,1,1
29,45,Male,26655,19,23,13,415.13,53,0,1
30,33,Female,90031,49,37,20,479.95,21,0,1
31,32,Female,96429,12,53,25,177.84,4,0,0
32,20,Male,111083,61,37,4,121.4,55,0,0
33,54,Female,107922,19,10,10,217.56,32,0,1
34,24,Male,75766,76,10,3,151.09,57,1,1
35,38,Male,33403,9,19,41,311.33,35,1,0
36,26,Female,52097,71,17,45,456.81,46,1,1
37,56,Female,98657,28,21,18,78.17,19,0,0
38,35,Male,30966,78,14,47,59.39,18,1,1
39,21,Female,119157,95,9,36,135.45,34,0,0
40,42,Female,113848,52,46,47,365.79,51,0,1
41,31,Male,72921,83,1,22,300.55,42,0,1
42,26,Male,69726,16,51,34,60.08,16,0,0
43,43,Female,70300,69,45,47,460.19,58,1,1
44,19,Male,42677,99,13,8,397.14,44,1,1
45,37,Male,75609,12,4,40,21.28,42,0,0
46,45,Female,116825,25,1,49,329.17,33,1,1
47,24,Male,76661,52,49,44,387.91,8,0,0
48,25,Male,51024,85,40,19,193.47,25,1,0
49,52,Female,90313,53,32,42,43.77,1,1,1
50,31,Female,73006,23,34,41,47.89,52,0,1
51,34,Male,115285,16,28,37,61.08,8,1,1
52,53,Male,35338,57,31,6,421.82,8,0,1
53,57,Female,88027,39,8,26,456.24,39,1,1
54,21,Female,112772,53,39,34,70.18,16,0,1
55,19,Female,100135,42,26,45,125.59,0,0,1
56,23,Female,39508,58,58,6,91.11,24,1,0
57,59,Male,23051,39,34,37,101.3,42,1,1
58,21,Female,68747,14,54,33,420.37,39,0,0
59,46,Female,107142,95,54,22,172.75,41,1,1
60,35,Male,107235,5,3,21,162.61,24,1,1
61,43,Female,74021,35,59,6,121.42,38,0,0
62,51,Male,86412,87,50,6,307.87,34,0,1
63,27,Female,78335,93,12,48,195.86,2,1,1
64,53,Female,76179,75,1,4,374.68,49,0,0
65,31,Female,52093,18,54,30,110.73,36,0,1
66,48,Male,89678,76,44,11,396.02,43,0,1
67,32,Male,100738,9,5,30,305.82,43,1,1
68,25,Female,59734,74,30,31,65.99,50,1,0
69,31,Male,92615,58,30,24,213.11,29,0,1
70,40,Male,93523,17,59,9,433.12,37,1,1
71,57,Male,114476,7,57,3,462.25,33,0,1
72,38,Male,37019,46,17,31,238.19,11,1,1
73,33,Male,103613,13,48,40,245.61,18,0,0
74,35,Male,111794,40,47,37,460.04,36,0,0
75,41,Female,106672,42,23,36,297.66,43,1,1
76,43,Female,93847,9,15,24,26.09,58,0,1
77,42,Male,102750,50,37,31,457.25,58,1,0
78,58,Female,99634,27,21,6,131.63,48,1,0
79,46,Female,48251,66,14,2,293.04,16,0,1
80,32,Female,45945,5,2,20,91.1,9,0,0
81,18,Female,110852,29,11,28,26.6,56,1,1
82,42,Male,52217,37,51,11,162.62,54,0,0
83,24,Female,28308,38,39,4,392.44,48,0,0
84,26,Female,25949,83,38,15,146.02,46,0,0
85,41,Male,71990,8,34,6,117.85,11,0,0
86,18,Male,21150,65,38,49,114.21,15,0,1
87,25,Female,109480,86,50,30,262.44,23,1,0
88,41,Female,94740,17,34,38,488.02,18,1,0
89,28,Female,86617,71,18,2,234.9,7,0,1
90,34,Female,114841,89,30,15,283.08,30,0,0
91,25,Female,36896,45,15,11,431.71,20,0,0
92,52,Female,66175,4,27,8,272.18,16,1,1
93,52,Male,27805,36,51,26,100.39,22,0,0
94,50,Female,25237,70,34,45,156.8,36,1,1
95,22,Female,40056,31,52,44,161.87,53,1,1
96,59,Male,65543,19,57,5,204.69,15,1,1
97,56,Male,76556,61,38,6,219.13,5,0,1
98,58,Male,23343,54,33,26,401.89,7,1,0
99,45,Male,33500,39,24,4,181.2,24,0,1
100,24,Female,73222,91,15,19,239.43,17,1,0
101,26,Female,49375,74,30,20,316.24,24,0,0
102,25,Female,29662,90,55,33,195.09,11,1,0
103,29,Female,36964,19,42,20,419.92,14,0,0
104,51,Female,79638,39,51,49,297.85,58,1,0
105,50,Female,93666,67,17,12,154.08,25,0,0
106,40,Male,105067,45,5,47,359.89,40,0,0
107,41,Female,87215,13,29,1,268.55,44,0,0
108,54,Male,89042,92,4,26,271.88,25,0,0
109,52,Male,33284,58,10,14,245.73,46,1,0
110,57,Female,92789,20,56,38,253.54,31,1,1
111,39,Male,104664,92,17,37,385.02,9,0,1
112,44,Female,113468,72,10,11,60.46,15,1,1
113,52,Male,81389,61,17,36,173.84,6,0,0
114,18,Female,29435,39,20,13,47.0,16,0,1
115,52,Male,74340,1,24,43,379.09,22,1,1
116,54,Female,64078,3,5,3,143.43,25,0,1
117,31,Female,98832,77,34,33,449.74,20,0,0
118,20,Female,71293,92,6,6,268.02,21,1,0
119,18,Female,115981,62,53,10,402.37,57,0,0
120,22,Female,98781,63,2,5,489.68,6,0,0
121,43,Male,80403,25,13,23,421.5,13,0,1
122,31,Male,49124,56,43,10,434.83,14,0,1
123,56,Male,115435,33,43,44,209.91,52,1,1
124,44,Female,63919,38,48,2,280.34,6,1,1
125,26,Male,55247,6,11,13,134.41,8,1,0
126,32,Female,114758,58,51,40,106.1,50,0,0
127,32,Female,111747,44,47,2,257.7,47,0,0
128,43,Male,82752,45,57,20,301.57,7,1,1
129,59,Male,76573,32,23,1,176.24,49,0,0
130,30,Female,79101,45,55,37,289.03,58,0,0
131,49,Male,46646,61,16,9,444.86,22,0,1
132,56,Female,43049,47,31,17,282.79,28,0,1
133,49,Female,99605,21,11,9,363.2,17,1,0
134,21,Female,118116,80,54,11,404.6,30,1,0
135,47,Female,117379,85,16,15,494.48,29,1,0
136,54,Female,88385,75,8,24,305.57,51,0,0
137,40,Male,60158,36,4,38,405.36,38,1,0
138,56,Male,85417,99,40,35,481.7,34,1,0
139,32,Female,43289,19,4,30,472.76,17,0,1
140,46,Female,29823,20,56,31,79.13,58,0,1
141,53,Male,80160,57,25,49,209.13,41,1,1
142,30,Male,61975,18,3,5,168.76,38,1,0
143,49,Female,29540,47,32,44,52.59,16,1,1
144,24,Male,36364,49,3,14,320.29,13,1,0
145,39,Female,24611,14,27,11,370.59,30,0,0
146,45,Male,47663,15,29,9,425.58,23,1,1
147,19,Female,71991,31,32,34,70.16,34,1,0
148,59,Male,77679,1,50,12,439.46,43,0,0
149,23,Female,50977,54,58,35,325.03,59,1,1
150,45,Male,114704,3,51,35,354.93,44,0,1
151,45,Male,69115,16,19,1,456.21,33,0,1
152,37,Female,111007,87,21,40,316.13,2,0,0
153,47,Male,108223,57,5,22,174.57,36,1,1
154,28,Female,80890,75,18,29,414.3,42,1,1
155,45,Male,86387,12,28,8,187.9,39,0,0
156,42,Female,38071,74,42,11,26.77,25,1,1
157,56,Male,79275,96,22,41,417.02,54,1,1
158,50,Female,92369,16,21,37,179.14,22,0,1
159,18,Male,31938,72,6,14,389.18,43,0,0
160,44,Female,55195,76,1,30,187.75,38,1,0
161,30,Male,111680,24,5,35,431.92,14,0,0
162,58,Female,24000,28,41,21,117.56,55,1,0
163,20,Female,90588,8,12,37,487.53,48,1,1
164,56,Female,113610,92,26,5,392.08,3,1,0
165,23,Male,117856,36,46,19,65.98,28,1,0
166,25,Female,58304,90,34,14,287.23,21,0,1
167,44,Male,89449,8,49,26,492.83,24,0,1
168,26,Female,102986,58,14,4,240.82,12,0,1
169,54,Male,109643,60,26,25,99.23,17,0,0
170,50,Female,40764,50,45,45,247.54,32,1,0
171,59,Male,106027,28,27,42,261.1,15,1,0
172,41,Male,58494,92,9,25,373.43,44,0,1
173,32,Female,23373,41,26,18,352.43,41,1,1
174,49,Male,32161,64,57,40,207.25,43,1,0
175,49,Male,117532,27,47,8,116.83,1,1,1
176,41,Female,112658,63,57,39,326.08,54,0,1
177,58,Male,47350,17,22,40,216.63,34,0,1
178,29,Male,113008,73,47,14,74.82,41,0,0
179,56,Male,114297,33,56,32,451.28,33,1,1
180,19,Female,45351,84,30,38,348.7,29,0,1
181,20,Male,108668,77,43,33,344.76,58,0,0
182,54,Female,35305,92,48,23,413.07,54,0,0
183,34,Male,95353,29,17,15,269.53,12,0,1
184,19,Male,96797,13,26,33,409.38,12,0,1
185,19,Male,85953,46,36,25,254.06,17,0,0
186,45,Female,77458,35,1,17,42.92,31,1,0
187,40,Male,40358,6,8,33,208.57,31,1,1
188,54,Male,23267,82,49,47,253.76,34,0,1
189,49,Female,102745,69,35,2,362.9,58,0,1
190,50,Male,109588,47,52,14,62.22,38,1,1
191,18,Female,58513,25,15,40,78.61,45,1,0
192,36,Female,46092,66,47,40,139.21,51,0,1
193,19,Male,31338,10,56,39,140.58,28,0,1
194,43,Female,20412,56,22,6,368.77,48,0,0
195,49,Male,27543,30,14,6,132.86,28,0,1
196,23,Female,53496,5,26,3,320.22,52,1,0
197,49,Female,80692,33,28,7,252.19,43,0,1
198,21,Male,109084,65,23,8,290.91,56,0,1
199,28,Female,112920,18,14,42,420.67,15,0,0
200,34,Female,64425,96,24,15,208.15,55,0,0
